name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_NM,torque_rpm
Jeep,0.038461538461538464,2100000,5000,Petrol,Individual,1,First Owner,16.0,1368,160.77,5,250.0,1750.0
Honda,0.07692307692307693,925000,28900,Petrol,Dealer,0,First Owner,17.8,1497,117.3,5,145.0,4600.0
Honda,0.2692307692307692,425000,86300,Petrol,Dealer,0,First Owner,16.8,1497,116.3,5,146.0,4800.0
Maruti,0.07692307692307693,675000,23300,Petrol,Dealer,1,First Owner,18.5,1197,83.14,5,115.0,4000.0
Maruti,0.07692307692307693,819999,32600,Diesel,Dealer,0,First Owner,24.3,1248,88.5,5,200.0,1750.0
Maruti,0.07692307692307693,390000,10300,Petrol,Dealer,0,First Owner,23.95,998,67.05,5,90.0,3500.0
Toyota,0.23076923076923078,1500000,77000,Diesel,Dealer,0,First Owner,12.55,2982,168.5,7,343.0,1400.0
Toyota,0.2692307692307692,700000,99000,Diesel,Dealer,0,First Owner,12.99,2494,100.0,7,200.0,1400.0
Mercedes-Benz,0.23076923076923078,1450000,27800,Diesel,Dealer,1,Second Owner,14.8,2143,120.7,5,200.0,1250.0
Honda,0.19230769230769232,425000,49800,Diesel,Dealer,0,First Owner,24.7,1498,98.63,5,200.0,1750.0
Mitsubishi,0.2692307692307692,1090000,151000,Diesel,Dealer,0,First Owner,13.5,2477,175.56,7,400.0,2000.0
Honda,0.19230769230769232,600000,54700,Diesel,Dealer,0,First Owner,26.0,1498,98.6,5,200.0,1750.0
Maruti,0.07692307692307693,850000,64000,Petrol,Dealer,0,First Owner,20.65,1462,103.25,5,138.0,4400.0
Honda,0.19230769230769232,525000,63000,Diesel,Dealer,0,First Owner,27.3,1498,98.6,5,200.0,1750.0
Toyota,0.15384615384615385,1650000,127700,Diesel,Dealer,1,Second Owner,11.36,2755,171.5,7,360.0,1200.0
Toyota,0.15384615384615385,950000,99000,Diesel,Dealer,0,First Owner,12.99,2494,100.6,7,200.0,1200.0
Audi,0.2692307692307692,1750000,33900,Diesel,Dealer,1,Second Owner,17.68,1968,174.33,5,380.0,1750.0
Toyota,0.07692307692307693,1590000,25000,Petrol,Dealer,1,First Owner,14.28,1798,138.03,5,173.0,4000.0
Audi,0.2692307692307692,1689999,50000,Diesel,Dealer,1,First Owner,18.53,1968,187.74,5,400.0,1750.0
Mercedes-Benz,0.2692307692307692,1425000,59000,Diesel,Dealer,1,First Owner,14.84,2143,170.0,5,400.0,1400.0
Tata,0.34615384615384615,265000,120000,Diesel,Individual,0,First Owner,21.12,1248,88.8,5,200.0,1750.0
Hyundai,0.34615384615384615,190000,110000,Petrol,Individual,0,Third Owner,20.36,1197,78.9,5,111.7,4000.0
Hyundai,0.2692307692307692,425000,60000,Diesel,Individual,0,First Owner,21.27,1396,88.76,5,219.6,1500.0
Maruti,0.19230769230769232,630000,147000,Diesel,Individual,0,Second Owner,26.59,1248,74.0,5,190.0,2000.0
Ford,0.11538461538461539,600000,25000,Petrol,Individual,0,Third Owner,18.16,1196,86.8,5,112.0,4000.0
Maruti,0.038461538461538464,650000,30000,Petrol,Individual,0,First Owner,21.4,1197,83.1,5,115.0,4000.0
Volkswagen,0.15384615384615385,540000,40000,Diesel,Individual,0,First Owner,22.0,1498,108.495,5,250.0,1500.0
Honda,0.19230769230769232,630000,135000,Diesel,Individual,0,First Owner,25.1,1498,98.6,5,200.0,1750.0
Maruti,0.07692307692307693,448000,30000,Petrol,Individual,1,First Owner,20.51,998,67.0,5,90.0,3500.0
Volkswagen,0.11538461538461539,500000,80000,Diesel,Individual,0,First Owner,21.66,1498,108.62,5,250.0,1500.0
Maruti,0.15384615384615385,745000,70000,Diesel,Individual,0,First Owner,24.3,1248,88.5,5,200.0,1750.0
Maruti,0.038461538461538464,1025000,9850,Diesel,Individual,1,First Owner,24.3,1248,88.5,5,200.0,1750.0
Hyundai,0.34615384615384615,235000,60000,Petrol,Individual,0,Second Owner,20.36,1197,78.9,5,111.7,4000.0
Maruti,0.15384615384615385,630000,70000,Diesel,Individual,0,First Owner,25.2,1248,74.0,5,190.0,2000.0
Toyota,0.19230769230769232,1700000,78000,Diesel,Individual,0,Second Owner,12.55,2982,168.5,7,343.0,1400.0
Maruti,0.2692307692307692,450000,120000,Diesel,Individual,0,Second Owner,22.9,1248,74.0,5,190.0,2000.0
Maruti,0.3076923076923077,450000,120000,Petrol,Individual,0,Second Owner,16.02,1373,93.7,7,130.0,4000.0
Volkswagen,0.2692307692307692,450000,170000,Diesel,Individual,0,First Owner,20.54,1598,103.6,5,250.0,1500.0
Toyota,0.15384615384615385,1200000,140000,Diesel,Individual,0,First Owner,12.99,2494,100.6,8,200.0,1200.0
Ford,0.19230769230769232,610000,90000,Diesel,Individual,0,First Owner,22.77,1498,98.59,5,205.0,1750.0
BMW,0.15384615384615385,2500000,30000,Petrol,Individual,1,Second Owner,15.71,1998,189.0,5,280.0,1350.0
Maruti,0.11538461538461539,484999,10000,Petrol,Dealer,0,First Owner,23.1,998,67.04,5,90.0,3500.0
Datsun,0.15384615384615385,275000,49000,Petrol,Dealer,0,First Owner,19.02,1198,67.05,5,104.0,4000.0
Maruti,0.15384615384615385,315000,32000,Petrol,Dealer,0,First Owner,24.7,796,47.3,5,69.0,3500.0
Maruti,0.15384615384615385,275000,38000,Petrol,Dealer,0,First Owner,24.7,796,47.3,5,69.0,3500.0
Hyundai,0.3076923076923077,290000,28000,Petrol,Dealer,0,First Owner,19.81,1086,68.05,5,99.04,4500.0
Maruti,0.11538461538461539,280000,32000,Petrol,Dealer,0,First Owner,14.0,796,35.0,5,6.1,3000.0
Maruti,0.38461538461538464,225000,44000,LPG,Dealer,0,First Owner,26.2,998,58.2,5,77.0,3500.0
Volkswagen,0.19230769230769232,455000,42000,Petrol,Dealer,0,First Owner,16.47,1198,74.0,5,110.0,3750.0
Hyundai,0.19230769230769232,351000,45000,Petrol,Dealer,0,Second Owner,19.81,1086,68.05,5,99.04,4500.0
Volkswagen,0.3076923076923077,535000,12000,Petrol,Dealer,0,Second Owner,15.04,1598,103.6,5,153.0,3800.0
Maruti,0.4230769230769231,175000,55500,Petrol,Dealer,0,First Owner,18.2,998,67.1,5,90.0,3500.0
Hyundai,0.2692307692307692,525000,61500,Petrol,Dealer,0,First Owner,18.5,1197,82.85,5,113.7,4000.0
Maruti,0.15384615384615385,600000,150000,Diesel,Individual,0,First Owner,26.59,1248,74.0,5,190.0,2000.0
Hyundai,0.15384615384615385,565000,72000,Petrol,Dealer,1,First Owner,19.1,1197,82.0,5,114.0,4000.0
Maruti,0.46153846153846156,120000,68000,Petrol,Dealer,0,Third Owner,19.7,796,46.3,5,62.0,3000.0
Hyundai,0.11538461538461539,725000,110000,Diesel,Individual,0,First Owner,22.54,1396,88.73,5,219.7,1500.0
Maruti,0.4230769230769231,185000,77000,Petrol,Dealer,0,Second Owner,21.79,998,67.05,5,90.0,3500.0
Tata,0.38461538461538464,200000,100000,Diesel,Individual,0,Second Owner,18.8,1248,90.0,5,200.0,1750.0
Maruti,0.038461538461538464,615000,10000,Petrol,Individual,0,First Owner,21.21,1197,81.8,5,113.0,4200.0
Maruti,0.15384615384615385,270000,100000,Petrol,Individual,0,Third Owner,15.37,1196,73.0,7,101.0,3000.0
Maruti,0.07692307692307693,610000,35000,Petrol,Individual,0,First Owner,21.4,1197,83.1,5,115.0,4000.0
Mahindra,0.23076923076923078,625000,70000,Diesel,Individual,1,Second Owner,11.79,2179,120.0,8,290.0,1800.0
Ford,0.0,400000,5000,Petrol,Individual,0,Second Owner,19.0,1194,94.68,5,120.0,4250.0
Hyundai,0.11538461538461539,866000,37800,Petrol,Individual,0,First Owner,17.0,1591,121.3,5,151.0,4850.0
Volkswagen,0.38461538461538464,700000,114000,Petrol,Individual,0,First Owner,14.3,1798,160.0,5,250.0,1500.0
Tata,0.38461538461538464,300000,48000,Petrol,Individual,0,First Owner,15.8,1172,65.0,5,96.0,3000.0
Mahindra,0.038461538461538464,1700000,32000,Diesel,Individual,0,First Owner,15.1,2179,155.0,7,360.0,1750.0
Tata,0.15384615384615385,375000,100000,Diesel,Individual,0,First Owner,19.09,1405,69.01,5,135.0,2500.0
Hyundai,0.2692307692307692,522000,150000,Diesel,Individual,0,Second Owner,22.32,1582,126.32,5,259.8,1900.0
Hyundai,0.2692307692307692,451999,69000,Diesel,Individual,0,First Owner,21.9,1396,88.76,5,219.6,1500.0
Toyota,0.4230769230769231,300000,100000,Petrol,Individual,0,Second Owner,14.53,1798,138.1,5,173.0,4000.0
Maruti,0.0,475000,13000,Petrol,Individual,0,First Owner,21.63,998,67.04,5,90.0,3500.0
Maruti,0.15384615384615385,780000,60000,Diesel,Individual,0,First Owner,24.3,1248,88.5,5,200.0,1750.0
Maruti,0.11538461538461539,595000,40000,Petrol,Individual,0,First Owner,20.85,1197,83.14,5,115.0,4000.0
Maruti,0.11538461538461539,440000,35000,Petrol,Individual,0,First Owner,20.51,998,67.04,5,90.0,3500.0
Nissan,0.23076923076923078,400000,70000,Diesel,Individual,0,Third Owner,20.45,1461,83.8,5,200.0,1900.0
Hyundai,0.15384615384615385,1140000,50000,Diesel,Individual,0,First Owner,19.67,1582,126.2,5,259.9,1900.0
Ford,0.11538461538461539,850000,76139,Diesel,Individual,0,First Owner,23.0,1498,98.96,5,205.0,1750.0
Maruti,0.3076923076923077,370000,175000,Diesel,Individual,0,Fourth & Above Owner,19.3,1248,73.9,5,190.0,2000.0
Renault,0.07692307692307693,350000,25000,Petrol,Individual,0,First Owner,23.01,999,67.0,5,91.0,4250.0
Maruti,0.19230769230769232,360000,40000,Petrol,Individual,0,Second Owner,23.1,998,67.04,5,90.0,3500.0
Maruti,0.46153846153846156,105000,65000,Petrol,Individual,0,Fourth & Above Owner,19.7,796,46.3,5,62.0,3000.0
Maruti,0.2692307692307692,625000,90000,Diesel,Individual,0,Second Owner,20.77,1248,88.76,7,200.0,1750.0
Hyundai,0.4230769230769231,135000,80000,Petrol,Individual,0,Second Owner,17.92,1086,62.1,5,96.1,3000.0
Maruti,0.19230769230769232,700000,110000,Diesel,Individual,0,Second Owner,20.77,1248,88.76,7,200.0,1750.0
Honda,0.038461538461538464,690000,1303,Petrol,Dealer,0,First Owner,17.8,1198,86.7,5,109.0,4500.0
Audi,0.07692307692307693,3975000,31800,Diesel,Dealer,1,First Owner,17.01,1968,188.0,5,400.0,1750.0
Lexus,0.038461538461538464,5150000,20000,Petrol,Dealer,1,First Owner,22.37,2487,214.56,5,202.0,3600.0
Jaguar,0.11538461538461539,3200000,45000,Diesel,Dealer,1,First Owner,19.33,1999,177.0,5,430.0,1750.0
Jeep,0.11538461538461539,4100000,17000,Petrol,Individual,1,First Owner,9.5,3604,280.0,5,347.0,4300.0
Land,0.038461538461538464,4500000,21000,Diesel,Dealer,1,First Owner,12.83,1999,148.31,7,382.0,1750.0
Mercedes-Benz,0.11538461538461539,6000000,37000,Diesel,Dealer,1,First Owner,13.5,2987,254.79,5,620.0,1600.0
BMW,0.07692307692307693,3790000,29500,Diesel,Dealer,1,First Owner,22.48,1995,187.74,5,400.0,1750.0
BMW,0.038461538461538464,5800000,7500,Diesel,Dealer,1,First Owner,16.78,1995,190.0,5,400.0,1750.0
Skoda,0.07692307692307693,1864999,50000,Petrol,Dealer,1,First Owner,14.67,1798,177.46,5,250.0,1250.0
Mercedes-Benz,0.15384615384615385,2700000,35000,Diesel,Dealer,1,First Owner,15.0,2143,204.0,5,500.0,1600.0
MG,0.038461538461538464,1750000,19000,Petrol,Dealer,1,First Owner,13.96,1451,141.0,5,250.0,1600.0
Honda,0.11538461538461539,795000,41000,Petrol,Dealer,1,First Owner,18.0,1497,117.6,5,145.0,4600.0
Toyota,0.2692307692307692,625000,39000,Petrol,Dealer,1,First Owner,14.28,1798,138.03,5,173.0,4000.0
Audi,0.19230769230769232,2650000,53000,Diesel,Dealer,1,First Owner,12.07,2967,241.4,7,550.0,1750.0
Maruti,0.19230769230769232,535000,40000,Diesel,Dealer,0,First Owner,26.21,1248,88.5,5,200.0,1750.0
Mercedes-Benz,0.11538461538461539,5850000,47000,Diesel,Dealer,1,First Owner,13.5,2987,282.0,5,490.0,1600.0
BMW,0.38461538461538464,975000,72200,Petrol,Dealer,1,Second Owner,10.8,2497,150.0,5,250.0,2750.0
Hyundai,0.15384615384615385,805000,49900,Petrol,Dealer,0,First Owner,16.3,1797,147.5,5,177.5,4700.0
Jaguar,0.11538461538461539,2625000,9000,Diesel,Dealer,1,First Owner,13.6,1999,177.0,5,430.0,1750.0
Tata,0.07692307692307693,811000,11000,Petrol,Dealer,0,First Owner,17.0,1198,108.5,5,170.0,1750.0
Volkswagen,0.34615384615384615,375000,49000,Petrol,Individual,0,First Owner,15.04,1598,103.6,5,153.0,3800.0
Hyundai,0.3076923076923077,550000,95000,Petrol,Individual,0,First Owner,16.3,1797,147.5,5,177.5,4700.0
Skoda,0.15384615384615385,645000,11000,Petrol,Dealer,1,First Owner,14.3,1598,103.5,5,153.0,3800.0
Mercedes-Benz,0.07692307692307693,2550000,18000,Petrol,Dealer,1,First Owner,15.04,1991,183.0,5,300.0,1200.0
Maruti,0.23076923076923078,599000,46100,Petrol,Dealer,0,First Owner,16.02,1373,93.7,7,130.0,4000.0
Mercedes-Benz,0.11538461538461539,2700000,16000,Petrol,Dealer,1,First Owner,14.74,1991,181.04,5,300.0,1200.0
Honda,0.11538461538461539,875000,18000,Petrol,Dealer,1,First Owner,15.6,1497,116.3,5,146.0,4800.0
Toyota,0.038461538461538464,894999,9654,Petrol,Dealer,1,First Owner,19.56,1197,81.8,5,113.0,4200.0
Maruti,0.34615384615384615,175000,11000,Petrol,Dealer,0,First Owner,23.95,998,67.05,5,90.0,3500.0
Maruti,0.3076923076923077,340000,24300,Petrol,Dealer,0,First Owner,21.21,1197,81.8,5,113.0,4200.0
Toyota,0.15384615384615385,1525000,42163,Diesel,Dealer,1,Second Owner,11.36,2755,171.5,7,360.0,1200.0
Tata,0.07692307692307693,1025000,8000,Diesel,Dealer,1,First Owner,21.5,1497,108.5,5,260.0,1500.0
BMW,0.15384615384615385,2150000,30000,Diesel,Dealer,1,First Owner,22.69,1995,190.0,5,400.0,1750.0
Toyota,0.15384615384615385,1900000,41000,Petrol,Dealer,1,First Owner,19.16,2494,157.7,5,213.0,4500.0
BMW,0.15384615384615385,2900000,12000,Diesel,Dealer,1,First Owner,18.12,1995,190.0,5,400.0,1750.0
Toyota,0.4230769230769231,450000,71000,Petrol,Dealer,1,First Owner,12.1,2362,164.7,5,224.0,4000.0
Maruti,0.15384615384615385,850000,20000,Petrol,Individual,0,First Owner,17.5,1373,91.1,7,130.0,4000.0
Volvo,0.11538461538461539,10000000,30000,Petrol,Individual,1,First Owner,42.0,1969,400.0,4,640.0,1740.0
Volkswagen,0.34615384615384615,300000,100000,Diesel,Individual,0,Second Owner,20.54,1598,103.6,5,250.0,1500.0
Ford,0.07692307692307693,575000,9500,Petrol,Individual,0,First Owner,18.16,1196,86.8,5,112.0,4000.0
Ford,0.34615384615384615,160000,120000,Diesel,Individual,0,First Owner,20.0,1399,68.0,5,160.0,2000.0
Maruti,0.19230769230769232,515000,36600,Petrol,Individual,0,First Owner,20.4,1197,81.8,5,113.0,4200.0
Maruti,0.19230769230769232,390000,50000,Petrol,Individual,1,Second Owner,20.51,998,67.0,5,90.0,3500.0
Hyundai,0.15384615384615385,550000,14000,Petrol,Individual,0,Second Owner,18.6,1197,81.83,5,114.7,4000.0
Maruti,0.8076923076923077,40000,40000,Petrol,Individual,0,Second Owner,16.1,796,37.0,4,59.0,2500.0
Maruti,0.38461538461538464,220000,120000,Diesel,Individual,0,First Owner,21.1,1248,73.9,5,113.0,4500.0
Hyundai,0.19230769230769232,425000,70000,Petrol,Individual,0,First Owner,18.9,1197,82.0,5,114.0,4000.0
Volkswagen,0.038461538461538464,480000,13000,Petrol,Individual,0,First Owner,19.44,999,75.0,5,95.0,3000.0
Hyundai,0.23076923076923078,400000,60000,Petrol,Individual,0,Second Owner,18.9,1197,82.0,5,114.0,4000.0
Maruti,0.23076923076923078,487000,35000,Petrol,Individual,0,First Owner,19.1,1197,85.8,5,114.0,4000.0
Hyundai,0.15384615384615385,386000,44000,Petrol,Individual,0,Second Owner,19.1,1197,82.0,5,114.0,4000.0
Honda,0.5769230769230769,100000,120000,Petrol,Individual,0,Second Owner,13.0,1493,100.0,5,13.1,4600.0
Toyota,0.38461538461538464,300000,60000,Diesel,Individual,0,First Owner,21.43,1364,87.2,5,205.0,1800.0
Daewoo,0.7692307692307693,100000,60000,Petrol,Individual,0,First Owner,18.5,796,53.0,5,71.0,3500.0
Toyota,0.23076923076923078,1750000,30000,Diesel,Individual,0,Second Owner,13.0,2982,168.5,7,343.0,1400.0
Mahindra,0.15384615384615385,450000,15000,Petrol,Individual,0,Second Owner,18.15,1198,82.0,6,115.0,3500.0
Tata,0.11538461538461539,490000,90000,Diesel,Individual,0,First Owner,22.95,1248,74.0,5,190.0,1750.0
Honda,0.4230769230769231,345000,47000,Petrol,Individual,0,Second Owner,17.0,1497,118.0,5,146.0,4800.0
Maruti,0.5769230769230769,85000,90000,Petrol,Individual,0,First Owner,17.3,993,60.0,5,78.0,4500.0
Maruti,0.38461538461538464,215000,120600,Petrol,Individual,0,Second Owner,18.9,998,67.1,5,90.0,3500.0
Hyundai,0.38461538461538464,320000,100000,Petrol,Individual,0,Third Owner,16.2,1599,103.2,5,14.9,3000.0
Maruti,0.15384615384615385,459999,60000,Petrol,Individual,0,Second Owner,20.85,1197,83.14,5,115.0,4000.0
Hyundai,0.5769230769230769,65000,86000,Petrol,Individual,0,First Owner,15.3,1341,83.0,5,115.0,3200.0
Hyundai,0.0,720000,5000,Petrol,Individual,0,First Owner,18.6,1197,81.86,5,117.0,4000.0
Maruti,0.11538461538461539,800000,37000,Diesel,Individual,0,First Owner,28.09,1248,88.5,5,200.0,1750.0
Tata,0.038461538461538464,520000,14000,Petrol,Individual,0,First Owner,20.3,1199,84.0,5,114.0,3500.0
Maruti,0.19230769230769232,580000,70000,Diesel,Individual,0,First Owner,20.77,1248,88.76,7,200.0,1750.0
Honda,0.19230769230769232,600000,50000,Petrol,Individual,0,First Owner,17.4,1497,117.3,5,145.0,4600.0
Honda,0.23076923076923078,290000,60000,Petrol,Individual,0,Second Owner,19.4,1198,86.8,5,109.0,4500.0
Maruti,0.15384615384615385,360000,50000,CNG,Individual,0,First Owner,26.6,998,58.16,5,77.0,3500.0
Maruti,0.11538461538461539,550000,50000,Petrol,Individual,0,First Owner,20.85,1197,83.14,5,115.0,4000.0
Hyundai,0.2692307692307692,375000,70000,Petrol,Individual,0,First Owner,18.5,1197,82.85,5,113.7,4000.0
Maruti,0.07692307692307693,420000,35000,Petrol,Individual,1,First Owner,20.51,998,67.0,5,90.0,3500.0
Maruti,0.11538461538461539,550000,20000,Petrol,Individual,0,First Owner,21.21,1197,81.8,5,113.0,4200.0
Maruti,0.07692307692307693,270000,20000,Petrol,Individual,0,First Owner,24.7,796,47.3,5,69.0,3500.0
Maruti,0.07692307692307693,700000,7800,Petrol,Individual,1,First Owner,22.0,1197,81.8,5,113.0,4200.0
Maruti,0.11538461538461539,500000,20000,Petrol,Individual,0,First Owner,20.4,1197,81.8,5,113.0,4200.0
Tata,0.038461538461538464,1250000,15000,Diesel,Individual,0,First Owner,17.6,2179,147.94,7,320.0,1500.0
Hyundai,0.2692307692307692,320000,31377,Petrol,Individual,0,Second Owner,18.5,1197,82.85,5,113.7,4000.0
Maruti,0.07692307692307693,700000,50000,Diesel,Individual,0,First Owner,28.4,1248,74.02,5,190.0,2000.0
Maruti,0.19230769230769232,290000,60000,Petrol,Individual,0,First Owner,20.51,998,67.04,5,90.0,3500.0
Toyota,0.3076923076923077,550000,100000,Petrol,Individual,1,First Owner,14.53,1794,138.1,5,173.0,4000.0
Honda,0.3076923076923077,265000,60000,Petrol,Individual,0,First Owner,19.4,1198,86.8,5,109.0,4500.0
Maruti,0.07692307692307693,830000,5000,Petrol,Individual,1,First Owner,21.4,1197,83.1,5,115.0,4000.0
Tata,0.11538461538461539,800000,60000,Diesel,Individual,0,First Owner,14.1,2179,147.94,7,320.0,1500.0
Maruti,0.34615384615384615,160000,25000,Petrol,Individual,0,Second Owner,19.7,796,46.3,5,62.0,3000.0
Renault,0.07692307692307693,335000,30000,Petrol,Individual,0,First Owner,25.17,799,53.3,5,72.0,4386.0
Datsun,0.11538461538461539,329000,80000,Petrol,Individual,0,Second Owner,20.63,1198,67.0,5,104.0,4000.0
Maruti,0.11538461538461539,775000,75000,Diesel,Individual,0,First Owner,24.3,1248,88.5,5,200.0,1750.0
Hyundai,0.0,524000,32000,Petrol,Individual,0,First Owner,20.14,1197,81.86,5,113.75,4000.0
Maruti,0.19230769230769232,245000,40000,Petrol,Individual,0,First Owner,22.74,796,47.3,5,69.0,3500.0
Hyundai,0.3076923076923077,275000,93000,Petrol,Individual,0,Second Owner,17.0,1197,80.0,5,11.4,4.0
Tata,0.07692307692307693,520000,60000,Petrol,Individual,0,First Owner,17.57,1193,88.7,5,140.0,1500.0
Nissan,0.23076923076923078,550000,37000,Petrol,Individual,0,First Owner,16.95,1498,97.7,5,134.0,4000.0
Ford,0.07692307692307693,910000,15000,Petrol,Individual,0,First Owner,17.0,1497,121.36,5,150.0,4500.0
Nissan,0.19230769230769232,300000,80000,Petrol,Individual,0,First Owner,19.49,1198,67.04,5,104.0,4000.0
Maruti,0.15384615384615385,350000,140000,Petrol,Individual,0,First Owner,20.51,998,67.04,5,90.0,3500.0
Mahindra,0.2692307692307692,900000,70000,Diesel,Individual,0,First Owner,12.83,2696,162.0,7,340.0,1800.0
Mahindra,0.2692307692307692,300000,120000,Diesel,Individual,0,Second Owner,17.21,1493,100.0,7,240.0,1600.0
Maruti,0.38461538461538464,250000,110000,Diesel,Individual,0,Second Owner,21.1,1248,73.9,5,190.0,2000.0
Hyundai,0.11538461538461539,1100000,37000,Diesel,Individual,0,First Owner,19.67,1582,126.2,5,259.9,1900.0
Renault,0.15384615384615385,270000,44000,Petrol,Individual,0,First Owner,25.17,799,53.3,5,72.0,4386.0
Maruti,0.19230769230769232,640000,80000,Diesel,Individual,0,First Owner,20.77,1248,88.76,7,200.0,1750.0
Mahindra,0.19230769230769232,650000,125000,Diesel,Individual,0,First Owner,15.1,2179,140.0,7,330.0,1600.0
Maruti,0.11538461538461539,409999,13500,Petrol,Individual,0,First Owner,15.37,1196,73.0,5,101.0,3000.0
Hyundai,0.34615384615384615,165000,75000,Petrol,Individual,0,First Owner,17.92,1086,62.1,5,96.1,3000.0
Hyundai,0.5,80000,120000,Petrol,Individual,0,Second Owner,13.2,1495,94.0,5,12.5,3.0
Mahindra,0.3076923076923077,535000,120000,Diesel,Individual,0,First Owner,15.1,2179,140.0,7,330.0,1600.0
Toyota,0.2692307692307692,700000,70000,Diesel,Individual,0,First Owner,12.99,2494,100.57,7,200.0,1400.0
Maruti,0.2692307692307692,550000,70000,Diesel,Individual,0,First Owner,23.4,1248,74.0,5,190.0,2000.0
